approved,sponsor,nickname,gender,country,state,city,adsource,seeking,dob
1,0,ashley136,2,1,3,Bullhead City,6,3,1947-03-11
1,1761,astro_righteous,2,1,3,Phoenix,3,2,1986-01-10
1,1761,bahamutzero,2,1,3,Mesa,20,2,1977-03-28
1,739,Big-t4,2,1,3,Glendale,12,2,1978-03-22
1,0,bigbadddad,2,1,3,Prescott Valley,12,3,1974-03-01
1,0,bigdick38,2,1,3,Tucson,6,3,1936-05-07
1,0,blues1982,2,1,3,Tucson,15,3,1982-05-19
1,0,bootymomma12,1,1,3,Chandler,12,1,1970-07-25
1,1311,bored104,2,1,3,Chandler,2,2,1964-12-09
1,1685,bubba_n_az,2,1,3,Mesa,17,2,1982-04-06
1,1311,Caleb2008,2,1,3,Eagar,12,2,1983-07-27
1,0,chocolate_thunde,2,1,3,mesa,15,2,1980-11-17
1,0,Daperdanman,2,1,3,Phoenix,12,2,1967-09-12
1,0,Dave439,2,1,3,Scottsdale,12,3,1963-10-10
1,0,doubled23,2,1,3,Buckeye,15,2,1987-03-10
1,0,feetlover1,2,1,3,Phoenix,25,2,1971-11-23
1,0,ffelix,2,1,3,Scottsdale,17,2,1981-07-12
1,1761,georgiabud,2,1,3,Scottsdale,6,2,1966-02-17
1,1685,guyyyyyyyyyy,2,1,3,Tempe,4,3,1986-04-02
1,0,henri4748,2,1,3,Green Valley,25,2,1955-05-10
1,0,HOTPOPA1962,2,1,3,Scottsdale,3,2,1962-11-30
1,0,ibcowboy65,2,1,3,queen creek,17,2,1973-08-05
1,1685,imfullatetoomuch,2,1,3,Marana,1,2,1971-01-01
1,0,intel2rob,2,1,3,Mesa,12,3,1988-01-13
1,0,jay26082,2,1,3,Phoenix,2,2,1982-07-16
1,1685,jdubb08,2,1,3,Scottsdale,12,2,1982-04-05
1,0,Judeman,2,1,3,Mesa,13,3,1988-06-16
1,0,justlooking214,2,1,3,Scottsdale,12,2,1970-02-11
1,0,kahcsh,2,1,3,Tucson,12,2,1965-10-01
1,0,kcartecar,2,1,3,Gilbert,25,3,1963-02-15
1,0,kewlone123,2,1,3,Glendale,6,2,1969-05-28
1,0,kronos333,2,1,3,Mesa,6,3,1977-08-15
1,0,mak602,2,1,3,Tempe,6,2,1980-07-09
1,0,makeme08,2,1,3,Chandler,12,2,1951-07-07
1,0,MASTERROCKSMAN1,2,1,3,Phoenix,12,2,1980-06-28
1,0,molly21,2,1,3,Peoria,6,2,1961-10-05
1,0,nicca,2,1,3,Tempe,3,3,1970-01-02
1,0,nikolas1976,2,1,3,Tucson,12,2,1976-08-13
1,0,nrn28,2,1,3,Scottsdale,2,2,1985-04-17
1,1484,onemojo1,2,1,3,Tucson,6,3,1971-09-29
1,0,ruyhlessinbed,2,1,3,Surprise,12,2,1980-11-08
1,0,rywal,2,1,3,Tucson,4,2,1980-09-30
1,0,sanpatron,2,1,3,Phoenix,25,2,1952-01-09
1,0,scotter78,2,1,3,Scottsdale,25,2,1978-01-07
1,0,scottsdaleplatinum,2,1,3,Scottsdale,2,2,1983-06-20
1,1761,spankyss,2,1,3,Phoenix,17,2,1955-09-06
1,0,toobusydano,2,1,3,prescott,15,2,1981-01-26
1,0,vanvnvmc,2,1,3,Glendale,6,2,1948-08-08
1,1436,123wrh,2,1,4,Wesley,6,2,1964-01-05
1,1685,dinningattheY,2,1,4,Elkins,6,2,1955-10-20
1,0,don19622,2,1,4,Fort Smith,1,2,1962-02-15
0,0,inside.canada,2,1,4,Pine Bluff,3,2,1973-01-02
1,0,razorjoe,2,1,4,Little Rock,6,2,1963-07-21
1,0,Los77,2,1,5,Lake Elsinore,15,3,1977-12-01
1,0,Alice14,1,1,5,Culver City,17,1,1977-02-01
1,0,Ejl1881,2,1,5,Azusa,4,2,1966-03-02
1,0,selfmade18,2,1,5,Fontana,12,2,1988-05-01
1,0,classicbeauty84,1,1,5,Westlake Village,27,1,1984-01-01
1,0,itsgettingold,2,1,5,Spring Valley,12,2,1982-04-16
1,0,testuser123,2,1,5,Beverly Hills,1,2,1977-08-05
1,1311,Dew86,1,1,5,San Diego,12,6,1981-04-15
1,1311,Chocolate_nasty,2,1,5,Inglewood,2,2,1978-12-21
1,1685,maxcesar128,2,1,5,Desert Hot Springs,2,2,1988-07-20
1,1716,<2562298>,2,1,5,Coronado,6,2,1966-08-16
1,0,<2562460>,2,1,5,Barstow,25,3,1979-03-06
1,0,1234f,1,1,5,Hemet,15,1,1984-12-14
1,0,17bigdaddy,2,1,5,Inglewood,17,2,1978-10-17
1,1484,1gentlemen,2,1,5,Los Angeles,10,2,1979-05-03
1,1472,1steve23,2,1,5,Cathedral City,10,2,1967-12-15
1,0,2002008,2,1,5,Moreno Valley,23,3,1970-02-20
1,0,21Cuban,2,1,5,Chino Hills,3,2,1986-09-30
1,0,22tony85,2,1,5,Pomona,17,2,1985-01-01
1,0,2337,2,1,5,Whittier,12,2,1980-07-12
1,0,2wentoo2,2,1,5,Chino,12,2,1975-01-05
1,0,2wentoo3,1,1,5,Chino Hills,12,6,1975-01-04
1,1311,6115,2,1,5,Newport Beach,12,2,1964-01-01
1,1311,88ed88,2,1,5,La Crescenta,17,2,1977-12-31
1,0,90ijinjnkj,2,1,5,Hawthorne,17,2,1984-08-15
1,0,a234,2,1,5,Corona,20,2,1936-03-01
1,0,aaronxvi,2,1,5,Los Angeles,21,3,1982-02-21
1,0,abelG25,2,1,5,Oxnard,17,2,1984-03-22
1,0,abernal007,2,1,5,Hemet,23,3,1983-07-04
1,0,Abogada76,1,1,5,Los Angeles,2,1,1976-02-13
1,1311,ADAV4,2,1,5,Winnetka,10,2,1969-08-17
1,1484,adub16,2,1,5,Santa Monica,17,2,1984-07-07
1,0,adventurous_at_40,2,1,5,Santa Clara,6,2,1968-06-11
1,0,airnskis,2,1,5,Concord,6,3,1967-05-26
0,0,ajguy30,2,1,5,San Jose,6,3,1968-05-07
1,0,AJinSF,2,1,5,San Rafael,2,2,1961-07-14
1,0,Alan791,2,1,5,Oakhurst,6,2,1979-06-10
1,0,AleckMcCale,2,1,5,Beverly Hills,6,2,1982-05-22
1,0,ALEJANDRO2000,2,1,5,Beverly Hills,21,2,1966-01-01
1,273,algreenphd,2,1,5,Rancho Cordova,6,2,1981-07-25
1,0,amazo,2,1,5,Temecula,12,2,1963-02-10
1,0,angel90716,1,1,5,Hawaiian Gardens,2,1,1981-08-08
1,1341,annie611,1,1,5,Sacramento,10,1,1967-08-05
1,1311,ant003,2,1,5,Covina,17,2,1972-08-07
1,0,Aquaman15,2,1,5,Torrance,15,2,1968-09-10
1,1311,aquin,2,1,5,Los Angeles,12,3,1973-06-20
1,0,ArGeeEF,2,1,5,Santa Monica,2,2,1972-11-11
1,0,arthurmosque2008,2,1,5,Los Angeles,12,3,1981-01-07
1,0,artlover2008,2,1,5,Valencia,12,3,1963-06-04
1,0,atrailofrubyred,1,1,5,Bakersfield,2,4,1980-03-31
1,1311,aypappi,1,1,5,North Hollywood,17,6,1971-03-21
1,1311,aypappy,2,1,5,North Hollywood,17,2,1971-03-21
1,0,azianguy27,2,1,5,Monterey Park,12,3,1982-03-26
1,1311,badass909,2,1,5,San Bernardino,26,2,1975-04-18
1,0,badbill73,2,1,5,Susanville,15,3,1973-10-14
1,0,badcop27,2,1,5,Costa Mesa,17,2,1982-07-28
1,0,bayareasports1,2,1,5,Los Angeles,3,2,1974-02-23
1,0,bduck08,2,1,5,Pasadena,17,5,1980-10-05
1,0,Beefcake82,2,1,5,Pico Rivera,10,2,1982-07-13
1,0,beftfriend,2,1,5,Ontario,10,2,1980-01-18
1,1311,Ben_Dover1,2,1,5,Los Angeles,17,2,1979-08-31
1,0,bhowze,2,1,5,Los Angeles,22,2,1966-12-29
1,0,Big_George,2,1,5,Reseda,17,2,1967-11-03
1,0,bigd4458,2,1,5,San Jose,6,2,1962-01-12
1,1685,bigdawg213,2,1,5,Bloomington,12,2,1973-05-01
1,0,bigheartluis,2,1,5,Moreno Valley,17,2,1972-12-07
1,0,bighusky2008,2,1,5,Garden Grove,3,2,1954-11-06
1,0,bigjoe31,2,1,5,Northridge,3,2,1971-12-01
1,0,biglongslong,2,1,5,Ontario,15,2,1981-09-09
1,0,bigmike3450,2,1,5,Garden Grove,4,2,1954-11-06
1,273,bigmoe18,2,1,5,Los Angeles,6,3,1971-04-23
1,0,billarm132,2,1,5,Spring Valley,6,2,1973-04-16
1,0,bin6,2,1,5,Placentia,21,2,1965-06-05
1,0,bizasusual,2,1,5,Altadena,22,2,1979-02-02
1,0,BLACKASONE1,2,1,5,West Covina,2,3,1977-12-20
1,1311,BlackDress07,1,1,5,Riverside,10,1,1989-05-12
1,0,bleuvelvet,1,1,5,Los Angeles,2,1,1976-09-18
1,0,bobbystar,2,1,5,Los Angeles,15,2,1974-06-06
1,0,bobr4896,2,1,5,Beverly Hills,12,2,1954-01-11
1,0,bonasal,2,1,5,San Francisco,2,2,1974-01-01
1,0,boriqua331,2,1,5,Victorville,17,2,1977-06-25
1,1761,boyindabch,2,1,5,Chino Hills,24,5,1985-05-10
1,0,boytoy408,2,1,5,Morgan Hill,6,2,1978-08-08
1,0,brainok,2,1,5,Yucaipa,12,3,1990-07-31
1,0,BRIANJAMES1,2,1,5,Sylmar,3,2,1974-10-17
1,0,Bruce_Otto,2,1,5,Altadena,3,2,1937-12-01
1,0,bubba515,2,1,5,Westlake Village,13,2,1953-01-10
1,0,buddabee33,2,1,5,Costa Mesa,22,3,1971-07-07
1,1311,burningfire,2,1,5,Fresno,15,3,1977-10-10
1,0,c146,2,1,5,Chino Hills,12,2,1974-02-02
1,1311,caballero2008,2,1,5,Carlsbad,6,2,1976-03-03
1,0,caliboy18,2,1,5,Norwalk,1,2,1990-02-03
1,0,Californiaboy1,2,1,5,Irvine,2,2,1971-10-10
1,1311,CANDY42056,1,1,5,Santa Ana,10,6,1984-07-07
1,0,canuck6,2,1,5,San Diego,12,2,1963-02-07
1,0,capone13,2,1,5,Rialto,17,2,1977-06-06
1,1311,Capri2008,1,1,5,Irvine,2,1,1969-03-11
1,0,carealtor,2,1,5,Santa Monica,22,3,1972-09-28
1,0,castlekarl,2,1,5,Bellflower,17,2,1970-06-17
1,0,cat9999,1,1,5,Los Angeles,17,1,1983-10-08
1,0,catchyname,2,1,5,Copperopolis,12,2,1969-06-05
1,0,caution08,1,1,5,Long Beach,10,1,1985-12-14
1,1311,Cb 68,2,1,5,Buena Park,12,2,1968-09-03
1,0,centrifuge,2,1,5,Upland,2,2,1978-08-12
1,0,CERVANTES01,2,1,5,Rosemead,10,2,1976-08-18
1,0,ch1na_doll,1,1,5,Anaheim,12,1,1989-01-20
1,0,chadyeager,2,1,5,Ramona,12,2,1979-04-06
1,0,champ24243,2,1,5,Fresno,15,2,1979-01-13
1,1394,chase53,2,1,5,Yucaipa,10,2,1971-12-30
1,0,checo08,2,1,5,Visalia,15,2,1975-02-03
0,0,chicachica,1,1,5,Palo Alto,6,4,1979-11-30
1,1311,chillindl,2,1,5,Yorba Linda,2,2,1980-01-01
1,1311,Chocolateboywonder77,2,1,5,Woodland Hills,10,2,1977-05-29
1,695,chucky31,2,1,5,Yorba Linda,12,5,1963-05-05
1,0,claytoniske,2,1,5,Long Beach,17,3,1955-12-12
1,0,cmcfm1,2,1,5,Santee,6,3,1966-09-22
1,0,coolhand79,2,1,5,south gate,17,2,1961-07-30
1,0,corcoran,2,1,5,San Francisco,2,2,1973-03-10
1,0,Cory13,2,1,5,Port Hueneme,17,2,1981-02-03
1,0,CPA4FLIGHT,2,1,5,Fallbrook,6,2,1952-11-20
1,0,crazysex1,2,1,5,Los Angeles,15,2,1969-09-19
1,0,cruelserj,2,1,5,Altadena,20,2,1952-07-09
1,1484,curiouscat7,1,1,5,Los Angeles,2,1,1969-01-28
1,1716,d1man,2,1,5,Bakersfield,6,3,1985-02-02
1,0,dadaday,1,1,5,Santa Monica,3,1,1983-05-05
1,0,DaddyKC,2,1,5,Rancho Cucamonga,17,2,1971-06-06
1,1311,dagr888t,2,1,5,Los Angeles,23,2,1983-08-22
1,0,dainelrod84,2,1,5,Downey,17,2,1989-05-11
1,1311,damonca,2,1,5,Van Nuys,24,2,1974-06-14
1,0,dan213,2,1,5,Fountain Valley,22,3,1987-03-11
1,0,danariprock2008,2,1,5,Los Angeles,12,3,1969-08-31
1,0,dancin\maniac,2,1,5,Temecula,17,2,1954-02-17
1,1394,Daniel6769,2,1,5,Sun Valley,22,3,1980-05-28
1,0,DANNY149,2,1,5,La Mirada,10,2,1972-08-10
1,0,dapspaz,1,1,5,Canoga Park,10,4,1964-01-05
1,0,DARE2SHARE1973,2,1,5,Rancho Cucamonga,2,2,1973-01-25
1,1616,DAVEWEST1,2,1,5,La Puente,2,3,1974-08-03
1,0,dbg62,2,1,5,Hanford,15,2,1962-06-30
1,0,dd62,2,1,5,San Diego,3,2,1980-02-01
1,0,ddigler82,2,1,5,Upland,2,2,1981-06-10
1,0,deanmoriarty2008,2,1,5,Long Beach,2,2,1982-05-02
1,0,deeanna2008,1,1,5,Oceanside,6,6,1982-04-14
1,1685,Deepnthick8,2,1,5,San Francisco,6,2,1973-09-16
1,0,deftones909,2,1,5,Ontario,12,2,1984-01-29
1,0,demerol08,2,1,5,Bell,12,5,1989-04-08
1,0,dennispencer,2,1,5,Los Angeles,4,2,1953-02-02
1,0,DES-SCREET,2,1,5,Costa Mesa,17,2,1964-05-20
1,0,designrlife,2,1,5,Sacramento,6,2,1977-07-19
1,0,devildog0,2,1,5,La Puente,26,2,1976-03-12
1,0,devonshier66,2,1,5,Hemet,3,3,1966-03-17
1,0,dfa8082,2,1,5,Placentia,12,2,1982-02-10
1,0,dfer2d,2,1,5,Northridge,23,2,1984-01-01
1,0,DickTover,2,1,5,Carmichael,12,2,1961-04-04
1,0,digbick1,2,1,5,Pasadena,12,2,1973-03-03
1,0,digbick8,2,1,5,Pasadena,12,2,1973-03-13
1,0,digirati,2,1,5,North Hills,17,2,1980-04-11
1,145,discreteone67,2,1,5,Van Nuys,2,2,1967-11-09
1,0,djserg,2,1,5,Los Angeles,12,2,1969-05-05
1,0,dlo19,2,1,5,San Juan Capistrano,6,3,1984-06-18
1,0,dominguezaaron,2,1,5,Glendale,15,3,1988-08-12
1,0,dominicanlover2008,2,1,5,North Hollywood,1,2,1975-01-01
1,1311,Dommo2008,2,1,5,Los Angeles,22,3,1984-11-11
1,0,Dondo70,2,1,5,Corona,10,2,1978-06-22
1,0,Donny34,2,1,5,Daly City,12,2,1979-12-02
1,0,doorjockey,2,1,5,Riverside,12,3,1973-02-20
1,1311,dr0606,2,1,5,Hacienda Heights,22,3,1970-06-06
1,0,Dragonsito18,2,1,5,Santa Paula,10,2,1979-02-04
1,0,dubois08,2,1,5,West Covina,26,2,1980-09-02
1,0,dubois081,2,1,5,West Covina,26,2,1979-08-01
1,1311,EASTVALECORONA,2,1,5,Corona,4,3,1963-10-31
1,0,ejdrill2720,2,1,5,Paso Robles,12,3,1972-05-24
1,0,ejdrill27201,2,1,5,Paso Robles,12,3,1972-05-24
1,0,ekalgib,2,1,5,Lodi,10,2,1956-12-07
1,0,endogen,2,1,5,Los Angeles,12,2,1967-08-07
1,0,enez,2,1,5,West Covina,2,3,1971-08-09
1,0,Eric158,2,1,5,Corona del Mar,6,2,1960-08-08
1,0,erikluvs,2,1,5,Salinas,15,3,1984-01-13
1,0,erover,2,1,5,Berkeley,6,2,1952-01-01
1,0,ers28,2,1,5,Glendale,17,2,1976-06-04
1,0,farfetched09,2,1,5,Gardena,2,2,1972-04-08
1,0,FilthyPunk,2,1,5,Simi Valley,17,3,1970-01-01
1,1685,Fireman1294,2,1,5,Twentynine Palms,2,2,1976-05-31
1,0,flashtales,2,1,5,San Diego,3,2,1957-04-11
1,0,flaze,2,1,5,North Hills,3,2,1982-03-29
1,0,flyguy180,2,1,5,Lakewood,17,2,1967-04-22
1,1311,fmontoya,2,1,5,Laguna Niguel,21,3,1984-01-27
1,1311,fmontoya110,1,1,5,Laguna Niguel,2,1,1984-01-01
1,0,fongsfrolic,2,1,5,Concord,6,2,1987-03-27
1,0,foX_TROT21,2,1,5,Oceanside,26,2,1986-07-04
1,0,frank00,2,1,5,Los Angeles,24,2,1969-07-30
1,0,frank2252,2,1,5,Los Angeles,17,3,1955-12-22
1,0,frankcastle1,2,1,5,Rosemead,12,3,1970-01-13
1,1311,freestyleralph69jr,2,1,5,Lynwood,2,3,1980-11-15
1,1311,fun1233,2,1,5,Los Angeles,6,2,1970-01-01
1,0,funguy4u7,2,1,5,Encino,3,2,1969-10-07
1,0,Funkey12k,2,1,5,Compton,10,3,1958-03-22
1,0,funnybone4,2,1,5,Los Angeles,3,2,1978-04-04
1,0,g170,1,1,5,Valencia,6,1,1962-12-31
1,0,g17008,1,1,5,Valencia,6,1,1962-12-31
1,0,Garebear949,2,1,5,Garden Grove,17,3,1989-06-14
1,1685,gentalaviator,2,1,5,Turlock,6,2,1954-08-01
1,0,GeTLIKemE,2,1,5,San Dimas,17,3,1987-01-07
1,0,GILBERTY6969,2,1,5,Torrance,17,2,1970-03-06
1,0,glenbob2008,2,1,5,Davis,6,2,1946-05-04
1,1311,Goji_21,2,1,5,Hollywood,10,2,1980-04-21
1,0,GolferDude57,2,1,5,Auburn,2,2,1957-01-12
1,0,golfnuts2008,2,1,5,Danville,12,2,1971-09-15
1,0,goodman92,2,1,5,Long Beach,2,3,1965-09-21
1,1484,gopony,2,1,5,Sylmar,12,3,1947-12-07
1,0,gr8poppa,2,1,5,Hawthorne,1,3,1962-10-21
1,0,greeneyes387,2,1,5,Corona,12,2,1987-10-14
1,0,greenman2005,2,1,5,Corona,12,2,1987-10-14
1,0,guest46,1,1,5,Concord,15,1,1935-02-01
1,0,gumba1,2,1,5,Carlsbad,12,2,1982-01-01
1,1311,gundosurfbum,2,1,5,San Luis Obispo,17,2,1977-02-06
1,0,gwarrior89,2,1,5,Pauma Valley,12,3,1989-01-09
1,0,haitheepar,1,1,5,Alhambra,6,1,1983-06-20
1,1685,halful28,2,1,5,Palm Springs,6,3,1977-11-22
1,0,Hanson69,2,1,5,San Gabriel,17,2,1980-02-08
1,0,happilife,2,1,5,Saratoga,2,2,1961-09-09
1,0,happyharry3,2,1,5,San Ramon,6,2,1978-08-25
1,1685,hardman50,2,1,5,Pioneer,12,2,1955-10-01
1,0,hblake138,2,1,5,Laguna Beach,12,2,1965-12-12
1,1311,hdnavy,2,1,5,Ione,2,3,1965-01-12
1,0,Hedgehog80,2,1,5,Riverside,24,3,1980-02-07
1,0,Hemi08,2,1,5,Studio City,17,3,1985-07-09
1,0,Heroe,2,1,5,Los Angeles,17,2,1978-02-05
1,0,hisbey,2,1,5,Los Angeles,6,2,1963-10-10
1,0,holiday2008,2,1,5,Ontario,22,2,1981-11-02
0,0,hollaloves,1,1,5,Beverly Hills,6,4,1980-02-16
1,0,homeboyrich85,2,1,5,Fullerton,3,2,1985-06-06
1,1311,horny120,2,1,5,Rancho Cucamonga,4,2,1981-09-19
1,0,horseass,2,1,5,El Segundo,12,3,1977-07-09
1,0,Hotpopa88,2,1,5,Fremont,27,2,1962-11-30
1,1394,hotshot650,2,1,5,Belmont,22,3,1985-04-10
1,1311,hoty4,2,1,5,Long Beach,10,2,1978-07-06
1,0,HOWDOWANTIT,2,1,5,Escondido,25,2,1983-04-01
1,0,hunkerga,2,1,5,San Diego,17,2,1969-11-18
1,1484,hunyncali,1,1,5,Lake Elsinore,10,1,1977-07-02
1,979,hustlehard1,2,1,5,Los Angeles,23,2,1985-03-13
1,0,HXSteve,2,1,5,Irvine,12,2,1965-06-29
1,0,ijfoiwqgj[o,2,1,5,San Diego,6,2,1960-02-26
1,1761,imabrkwall,1,1,5,Chino Hills,24,1,1983-10-07
1,0,intoyou2323,2,1,5,Panorama City,22,2,1985-04-08
1,1394,irish4163,2,1,5,Petaluma,23,2,1973-04-01
1,0,Iron433,2,1,5,Hemet,4,3,1965-11-04
1,0,ironman260,2,1,5,Los Angeles,26,2,1984-06-07
1,0,itsagoodthing75,1,1,5,Hacienda Heights,24,1,1983-07-10
1,0,jackieblue4,1,1,5,San Diego,12,1,1975-01-10
1,0,jag7787,2,1,5,Whittier,17,2,1987-08-08
1,0,james3_j3,2,1,5,Monrovia,10,2,1985-06-22
1,0,janna1010,2,1,5,Madera,2,2,1959-06-07
1,0,jared11,2,1,5,Los Angeles,27,2,1975-02-04
1,0,jay3101,2,1,5,Rancho Palos Verdes,27,2,1970-05-09
1,0,jazzy85,1,1,5,Sun Valley,10,4,1985-09-14
1,0,jccoste,2,1,5,Burbank,17,2,1968-04-30
1,0,jdfr2nit,2,1,5,West Covina,3,3,1970-03-25
1,0,Jefe40,2,1,5,Riverside,6,2,1968-10-08
1,0,jennaluvsla,1,1,5,Los Angeles,6,1,1974-10-10
1,0,jessica4499,1,1,5,Alameda,20,4,1985-06-12
1,1311,jesy69,2,1,5,Van Nuys,17,3,1979-05-30
1,0,jiggaman08,2,1,5,Pacoima,17,2,1983-11-11
1,1311,Jimtty69,2,1,5,Salinas,12,2,1970-04-12
1,1716,jmaldanacali,2,1,5,los angeles,6,3,1952-09-24
1,1311,jockone,2,1,5,Corona,23,2,1966-07-04
1,0,JODazzle,2,1,5,Long Beach,2,2,1979-10-08
1,0,joe7.50,2,1,5,Oceanside,6,2,1957-04-10
1,0,joeblow74,2,1,5,Camarillo,3,2,1984-04-04
1,1311,joecool13,2,1,5,Temple City,13,2,1973-04-03
1,0,joesmithjr,2,1,5,Beverly Hills,3,2,1975-01-01
1,0,johnny_dev,2,1,5,Downey,6,2,1981-11-06
1,0,johnny482,2,1,5,Camarillo,17,2,1983-08-30
1,0,johnnypontoon,2,1,5,Los Angeles,23,3,1978-10-06
1,0,johns20089,2,1,5,Ontario,12,3,1985-01-01
1,0,johnythemarried,2,1,5,West Hollywood,22,2,1967-05-17
1,0,jorge1975,2,1,5,Los Angeles,6,2,1975-01-12
1,1484,jozercam,2,1,5,Fresno,15,2,1977-11-02
1,0,jrm3,2,1,5,Los Angeles,10,2,1973-10-25
1,145,jstraw08,2,1,5,Valencia,4,2,1955-11-10
1,0,juan37,2,1,5,Santa Ana,17,2,1971-06-12
1,979,juanchurrogrande,2,1,5,Costa Mesa,27,3,1964-10-10
1,0,juliuscesar1212,2,1,5,Los Angeles,23,2,1977-06-19
1,0,Jumpinat08,2,1,5,Nevada city,10,2,1970-02-28
1,0,junior271,2,1,5,Moreno Valley,17,3,1981-01-04
1,0,junior64,2,1,5,SGV,17,2,1980-07-03
1,1311,JustLooking218,2,1,5,Anaheim,17,2,1983-07-27
1,1311,justwant2play2,2,1,5,Gardena,17,2,1961-05-03
1,1311,juventinoquintero,2,1,5,La Mirada,17,2,1975-06-14
1,0,kaisersoze2,2,1,5,Manhattan beach,12,2,1973-03-06
1,0,Kaledonian,2,1,5,Diamond Bar,24,3,1975-06-22
1,0,kansas1113,2,1,5,Trabuco Canyon,2,2,1960-02-04
1,0,karl11,2,1,5,San Diego,1,2,1959-06-10
1,0,karlcastle,2,1,5,Culver City,17,2,1970-06-17
1,0,keilamym,2,1,5,Mission Hills,10,2,1971-07-31
1,0,Ken91723,2,1,5,Covina,17,5,1972-10-18
1,0,kiara08,1,1,5,Long Beach,3,1,1958-02-02
1,0,kiki_95108,2,1,5,Riverside,3,2,1983-12-21
1,0,kiki030,1,1,5,Beverly Hills,3,4,1979-04-01
1,0,kilo8541,2,1,5,La Mirada,17,2,1976-08-02
1,0,kilter1,2,1,5,South El Monte,10,3,1983-06-13
1,0,KinkyFetishOC,2,1,5,Huntington Beach,17,2,1968-11-04
1,0,kitypleaser,2,1,5,Santa Rosa,6,2,1979-08-12
1,0,kksweets2008,1,1,5,Fontana,10,4,1978-11-11
1,1311,knownking,2,1,5,west  covina,2,2,1976-11-05
1,0,kojick,2,1,5,Beverly Hills,3,2,1973-08-21
1,0,korakora1,2,1,5,Simi Valley,12,2,1973-02-09
1,0,l_cue,2,1,5,Los Angeles,17,2,1982-05-28
1,0,Lady_Mistery,1,1,5,Santa Ana,2,4,1983-07-22
1,0,laerdoc,2,1,5,Manhattan Beach,12,2,1970-10-10
1,0,LAGNAFF,2,1,5,Irvine,15,2,1970-07-19
1,1484,lala28,1,1,5,Los Angeles,27,4,1980-04-04
1,291,LALOTLAX,2,1,5,Los Angeles,2,3,1977-01-01
1,0,latin_ale,2,1,5,San Diego,27,2,1976-08-06
1,1311,latino_boy,2,1,5,Inglewood,10,2,1980-04-27
1,0,LATINX2C,2,1,5,Bellflower,15,2,1981-01-10
1,0,LDave3,2,1,5,Culver City,17,3,1978-06-18
1,0,lencho23,2,1,5,Fontana,25,2,1980-08-27
1,0,letsplay131,2,1,5,Chino Hills,26,3,1975-07-01
1,0,lightofa1000suns,2,1,5,San Jose,2,2,1975-12-20
1,0,lightsout30,2,1,5,Fresno,25,2,1978-01-02
1,0,lildebbie1,1,1,5,Stanton,3,1,1957-06-21
1,1311,lildriver19,2,1,5,Long Beach,3,2,1967-11-10
1,0,liljames23,2,1,5,La Mirada,22,3,1988-07-18
1,0,lindsay9,2,1,5,Fair Oaks,6,3,1954-03-16
1,0,liquid5,2,1,5,Fresno,12,2,1968-07-07
1,0,lonelypanda,1,1,5,corcoran,4,1,1975-02-12
1,0,lovableqt24,1,1,5,San Bernardino,2,1,1983-10-24
1,0,LuckyRed63,2,1,5,Fallbrook,2,3,1983-07-27
1,0,luther22,2,1,5,palo alto,3,2,1958-03-06
1,0,luvinit13,2,1,5,Norwalk,17,2,1975-06-29
